TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
6868,3652,3216,178,178,1946,624,0,36,5090,808,808,1908,465,147,185,1136,932,791,339,4254,6340,500,682,64619,732,1767,154,831,2041,740,6042,723,Census Tract 131.02; San Diego County; California,6,73,13102
2485,1159,1326,62,56,657,254,114,0,1868,212,212,588,221,137,23,540,423,190,245,1887,2352,144,338,73333,129,781,89,222,973,432,2142,299,Census Tract 131.03; San Diego County; California,6,73,13103
5718,2908,2810,143,143,1891,454,14,0,4951,170,184,880,302,194,46,797,1042,753,366,3830,5274,366,642,54750,487,2088,48,664,2280,321,4987,617,Census Tract 131.04; San Diego County; California,6,73,13104
6020,2915,3105,561,541,1751,467,42,40,4774,5,53,908,301,95,48,1020,992,582,555,4049,5789,583,743,52014,389,2605,17,790,2164,455,5392,703,Census Tract 132.03; San Diego County; California,6,73,13203
4522,2217,2305,223,223,1398,363,26,0,3847,0,0,836,231,181,35,853,886,514,277,3260,4289,314,425,61852,365,1857,88,443,1530,362,3699,667,Census Tract 132.04; San Diego County; California,6,73,13204
2182,1039,1143,35,35,876,105,25,0,1968,52,63,363,174,34,76,328,303,251,115,1457,2087,242,278,61786,207,880,8,305,841,224,1901,168,Census Tract 132.05; San Diego County; California,6,73,13205
5999,3439,2560,219,197,2323,841,302,78,4499,361,361,1034,274,211,114,1262,782,713,435,4163,5708,318,1367,52622,570,2173,0,697,2347,613,5673,898,Census Tract 132.06; San Diego County; California,6,73,13206
4860,2522,2338,247,218,2662,1506,117,2,2929,60,60,967,501,262,199,877,735,339,128,3520,4631,144,355,106645,149,1079,28,393,2002,677,4490,527,Census Tract 133.01; San Diego County; California,6,73,13301
7029,3733,3296,151,130,4035,998,27,20,5586,164,210,1421,497,452,238,949,1139,354,230,4097,6287,333,513,100772,99,1394,23,682,2662,727,6491,760,Census Tract 133.02; San Diego County; California,6,73,13302
4593,2515,2078,253,242,1256,550,88,0,3707,37,37,845,260,278,146,737,654,542,231,3196,4525,175,309,71750,289,1546,17,468,2120,403,4240,672,Census Tract 133.03; San Diego County; California,6,73,13303
4066,2257,1809,453,432,829,460,155,0,2953,175,175,605,323,176,87,614,861,342,90,2682,3848,109,568,86563,464,1440,10,518,1273,532,3750,407,Census Tract 133.06; San Diego County; California,6,73,13306
4538,2384,2154,338,327,1652,568,31,68,3295,77,88,632,211,246,84,718,913,242,251,2968,4236,126,972,80156,489,1253,33,620,1508,395,3759,650,Census Tract 133.07; San Diego County; California,6,73,13307
3885,2010,1875,105,105,1057,137,84,0,3567,57,83,716,152,106,145,766,632,356,243,2651,3764,90,380,95725,226,1734,15,454,1554,545,3576,390,Census Tract 133.08; San Diego County; California,6,73,13308
7211,3891,3320,901,875,2000,941,91,15,4372,616,641,1103,977,384,492,1065,1361,377,50,5048,6908,212,326,140882,202,1703,42,740,3294,1516,6607,836,Census Tract 133.09; San Diego County; California,6,73,13309
